Country_One,Country_Two,Similarity
afghanistan,ägypten,0.3445226098842872
afghanistan,albanien,0.24480759071166902
afghanistan,algerien,0.24728065164342347
afghanistan,angola,0.35744781153309924
afghanistan,argentinien,0.19488727923505772
afghanistan,armenien,0.24564072578362325
afghanistan,aserbaidschan,0.3136373062567912
afghanistan,äthiopien,0.3009322056535993
afghanistan,australien,0.14690604048636308
afghanistan,bangladesch,0.28965425037627696
afghanistan,belarus,0.25709812974566104
afghanistan,belgien,0.17163524587792428
afghanistan,bosnien_und_herzegowina,0.3150062281598679
afghanistan,brasilien,0.2610316269764475
afghanistan,bulgarien,0.14219842409567457
afghanistan,chile,0.2841579001057831
afghanistan,china,0.27948266505722763
afghanistan,dänemark,0.17474674832331538
afghanistan,estland,0.13159527863900874
afghanistan,finnland,0.14924986737571655
afghanistan,frankreich,0.2910197561307944
afghanistan,georgien,0.27428414684219693
afghanistan,ghana,0.18313330157709545
afghanistan,griechenland,0.2505702249175419
afghanistan,hongkong,0.27543186424142874
afghanistan,indien,0.34975846275145583
afghanistan,indonesien,0.37086088524865185
afghanistan,irak,0.5965612766048162
afghanistan,iran,0.3853998358002097
afghanistan,irland,0.22309780839937104
afghanistan,island,0.1895999341891254
afghanistan,israel,0.3345437684251514
afghanistan,italien,0.20216023336700645
afghanistan,japan,0.28294300530400895
afghanistan,kambodscha,0.3148636295408642
afghanistan,kanada,0.1642761744399092
afghanistan,kasachstan,0.21470510937529158
afghanistan,kenia,0.350069722384539
afghanistan,kolumbien,0.32686954378271554
afghanistan,kongo,0.39846018347119827
afghanistan,kroatien,0.20105592480901407
afghanistan,kuba,0.3304165945360875
afghanistan,lettland,0.1689375703243493
afghanistan,libyen,0.5218929522437782
afghanistan,litauen,0.13804608800239998
afghanistan,luxemburg,0.06173876776550924
afghanistan,malaysia,0.20885713530429273
afghanistan,mali,0.5774391255400599
afghanistan,malta,0.14880144526989758
afghanistan,mazedonien,0.28960797283196504
afghanistan,mexiko,0.3947736721845456
afghanistan,montenegro,0.25370327799605774
afghanistan,mosambik,0.2515145044272194
afghanistan,namibia,0.22258258753607774
afghanistan,nepal,0.2692193825958308
afghanistan,neuseeland,0.1785184309923579
afghanistan,niederlande,0.1099548007607564
afghanistan,niger,0.19932462480096325
afghanistan,nigeria,0.41013494102917913
afghanistan,nordkorea,0.33526121538873166
afghanistan,norwegen,0.1612406454521507
afghanistan,österreich,0.16180468688440863
afghanistan,pakistan,0.4780852051580763
afghanistan,philippinen,0.24185321767806853
afghanistan,polen,0.18087655511019365
afghanistan,portugal,0.22840356780504598
afghanistan,ruanda,0.2956924946833776
afghanistan,rumänien,0.11410192566817419
afghanistan,saudi_arabien,0.37315570117793795
afghanistan,schweden,0.15523990734259288
afghanistan,schweiz,0.16796676243365993
afghanistan,senegal,0.2463932604514469
afghanistan,serbien,0.376830177435866
afghanistan,singapur,0.13756179210646668
afghanistan,slowakei,0.15881160375361258
afghanistan,slowenien,0.24148855085379312
afghanistan,somalia,0.5247572649580882
afghanistan,spanien,0.193935362640617
afghanistan,südafrika,0.28558532493404426
afghanistan,sudan,0.44549664644431997
afghanistan,südkorea,0.24496694702931546
afghanistan,südsudan,0.42372197034141745
afghanistan,syrien,0.5407889895822289
afghanistan,tansania,0.30203391152453485
afghanistan,thailand,0.22305368460623798
afghanistan,tschechien,0.1191292129280754
afghanistan,türkei,0.3556213088176715
afghanistan,uganda,0.3793119771577331
afghanistan,ukraine,0.32711796202902144
afghanistan,ungarn,0.19275115183618513
afghanistan,usa,0.34300042053599067
afghanistan,vereinigtes_königreich,0.19219912502064923
afghanistan,vietnam,0.3397915114246629
afghanistan,zypern,0.16324702578910466
ägypten,albanien,0.2466774653886618
ägypten,algerien,0.41322499212703784
ägypten,angola,0.3360910105021276
ägypten,argentinien,0.20622351130276295
ägypten,armenien,0.26544075492405883
ägypten,aserbaidschan,0.3499888417671139
ägypten,äthiopien,0.3703173996363638
ägypten,australien,0.24680559228406965
ägypten,bangladesch,0.2592426996596752
ägypten,belarus,0.19185143979402275
ägypten,belgien,0.10261082124756833
ägypten,bosnien_und_herzegowina,0.15178749016641344
ägypten,brasilien,0.2644087015490617
ägypten,bulgarien,0.17716707501957735
